tweet_id,username,name,creation_date,text,location
1691623868409004062,porterfieldlol,ts'ǫǫ̀kołı̨ı̨ ✨,Wed Aug 16 01:32:13 +0000 2023,"parts of Yellowknife are now on evacuation alert, a historic first for the capital city. https://t.co/k2P9uDr6Bg",
1691945051574993282,porterfieldlol,ts'ǫǫ̀kołı̨ı̨ ✨,Wed Aug 16 22:48:29 +0000 2023,"people are evacuating en-masse from Yellowknife despite limited evacuation alerts for parts of the city.

most of us are unwilling to wait for the city and the territory to make a call too late.",
1691612322496737746,OurYellowknife,City of Yellowknife,Wed Aug 16 00:46:20 +0000 2023,"The City is issuing an Evacuation Alert for some areas of the city because of the real potential threat to public safety due to the Behchoko/Yellowknife wildfire (ZF015).

The Evacuation Alert is for the following areas:
- Kam Lake
- Grace Lake
- Engle Business District. https://t.co/itfYzIK5rZ",Yellowknife
1691913973527134239,weathernetwork,The Weather Network,Wed Aug 16 20:45:00 +0000 2023,"Wildfires turn the sky orange in #Yellowknife, N.W.T. A territorial state of emergency was declared on Tuesday, with several areas of the city on evacuation alert. #NTwx 

Watch more videos here: https://t.co/0mKIijqMFi https://t.co/SweEOtlCZG",Canada
1691633128434028992,NWTFire,NWT Fire,Wed Aug 16 02:09:01 +0000 2023,"(3/4)Fire has come within 20km of Yellowknife, and the City of Yellowknife has issued an Evacuation Alert for Kam Lake, Grace Lake and the Engle Business District. Residents are urged to remain calm and follow the instructions of the City and GNWT.","NWT, Canada - TNO, Canada"
1691711288592793641,khaleejtimes,Khaleej Times,Wed Aug 16 07:19:36 +0000 2023,"The town of Fort Smith in #Canada turns red as #wildfires engulf the region. Evacuations and airlifts have begun after the largest city in the region, #Yellowknife declared an emergency. 

Video: AFP https://t.co/4qgo16SF3b",United Arab Emirates
1691812759300641270,weathernetwork,The Weather Network,Wed Aug 16 14:02:48 +0000 2023,Parts of #Yellowknife are on evacuation alert over wildfire threat. https://t.co/TsdX1GuyyT #NWTwx,Canada
1691923323960344793,CndNwayne,CNDNWayne,Wed Aug 16 21:22:09 +0000 2023,"@ProfBillMcGuire Please no. Hay River is across Great Slave Lake from Yellowknife. During a harrowing self-evacuation: ""He actually said to me, 'I don't want to die, mommy,' and he kept saying it so many times,"" she told the CBC. From a six-year-old child to his mom. 😢
https://t.co/ddkCJMJrjQ",Pacific Rim (Vancouver Island)
1691933887281164396,RylundJohnson,Rylund Johnson,Wed Aug 16 22:04:07 +0000 2023,At this point it seems pretty clear there is a de-facto Yellowknife evacuation happening with people voluntarily leaving. #nwtfires,Yellowknife
1691732591781744776,MarloVanMarck,Marlo Van Marck 🌎🍄🐝,Wed Aug 16 08:44:15 +0000 2023,"Maps to help understand the #Yellowknife situation. Range Lake &amp; Kam Lake are residential areas, Hundreds of homes, 1000s of people, are immediately adjacent to the evacuation alert areas. It’s an extremely serious situation. 
#NWTfires #wildfires #NWTWildfires https://t.co/tZI7147lqs",Beautiful British Columbia
